Depth,Sonic_Velocity,TEMP,R64,Time (s),Amplitude,Instantaneous_freq,ins_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
1853.5,4766.308884466484,103.255,13.028649999999999,0.848,7218.0117,16.300233840942383,16.300233840942383,7218.0117,4963.6193359375,52099692.0
1863.0,4770.191486895359,103.812,13.579999999999998,0.852,5537.1055,13.31096363067627,13.31096363067627,5537.1055,6367.67109375,30659536.0
1872.5,4774.074089324234,103.314,18.2085,0.856,4152.828,10.680305480957031,10.680305480957031,4152.828,6466.54765625,17245982.0
1882.0,4777.956691753108,104.659,18.69015,0.86,2867.4307,10.687907218933105,10.687907218933105,2867.4307,5596.4314453125,8222158.5
1891.5,4781.839294181982,105.676,10.09185,0.864,1483.1543,10.812288284301758,10.812288284301758,1483.1543,4251.7060546875,2199746.8
1901.0,4785.721896610857,106.134,13.562650000000001,0.868,-197.75293,11.650362014770508,11.650362014770508,197.75293,2768.553125,39106.223
1910.5,4789.604499039731,104.526,22.01435,0.872,-2373.045,12.927029609680176,12.927029609680176,2373.045,1186.523046875,5631342.0
1920.0,4793.487101468606,107.681,22.82635,0.876,-5141.5977,14.96804141998291,14.96804141998291,5141.5977,-672.362109375,26436026.0
1930.0,4797.574051393736,109.001,25.37585,0.88,-7910.1484,17.13199234008789,17.13199234008789,7910.1484,-2827.8779296875,62570450.0
1939.5,4801.456653822611,108.22,21.155150000000003,0.884,-9393.305,231.19534301757812,231.19534301757812,9393.305,-5003.1697265625,88234180.0
1949.0,4805.3392562514855,108.178,22.846,0.888,-8305.656,20.00535774230957,20.00535774230957,8305.656,-6624.750390625,68983930.0
1958.5,4809.22185868036,108.182,16.122966666666667,0.892,-4647.211,20.243371963500977,20.243371963500977,4647.211,-7079.58359375,21596570.0
1968.0,4813.104461109235,108.99,20.959833333333332,0.896,0.0,19.639080047607422,19.639080047607422,0.0,-6051.2640625,0.0
