Time (s),Depth,Sonic_Velocity,AC,R64,RD,Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
1.448,1445.223688209482,1823.3136979758233,167.17547537425637,13.007529275021247,7.506438008229841,-6101.1875,33.98213577270508,6101.1875,1704.1236328125,37224490.0
1.452,1449.2607379964134,2099.779968601399,145.15813138714287,16.17850038534818,7.858752815793284,-7679.082,215.28717041015625,7679.082,-799.4669921875,58968300.0
1.456,1453.3743264481275,2064.2649752553007,147.6587635829276,16.965825662311442,9.968000000000002,-3471.3662,35.25300216674805,3471.3662,-2735.016015625,12050383.0
1.46,1457.4969806642691,1943.4685302200428,156.83300000000003,13.109122013117542,8.144931235036053,4102.5195,35.68681716918945,4102.5195,-2777.093359375,16830666.0
1.464,1461.4102521066206,1844.3652356142566,165.26030759751166,12.81276471193766,8.311089093680836,9362.164,35.82101821899414,9362.164,-757.3904296875,87650110.0
1.468,1465.6690673484138,2132.7646029532666,143.0416411363845,12.37814977064305,5.301999999999999,7784.2734,35.175209045410156,7784.2734,2019.7017578125,60594910.0
1.472,1469.79138221362,1961.3442627248555,155.40370121016593,14.320063830751698,11.582700596467339,315.57812,33.96363067626953,315.57812,3618.6337890625,99589.555
1.476,1474.1213135264934,2209.4869292461262,137.9506270530155,16.399886004807875,9.084000000000001,-7784.2734,32.74482345581055,7784.2734,2756.05234375,60594910.0
1.48,1478.4490221812616,2035.3303984075883,149.75515264389878,16.516196876188733,9.605000000000002,-11045.254,218.57769775390625,11045.254,-273.50234375,121997630.0
1.484,1482.5364037076242,2062.816501711746,147.76013754980877,17.089442924787388,9.48396473728586,-7889.465,30.004186630249023,7889.465,-3723.828125,62243656.0
1.488,1486.5341599228764,2123.244060521773,143.55397824653386,15.672286955533925,9.427999999999999,-841.54395,28.884374618530273,841.54395,-5448.9916015625,708196.2
1.492,1490.6818441411908,2066.1304497060846,147.5240926716129,16.005066507268015,8.251221536042486,5995.992,27.80280113220215,5995.992,-4312.9087890625,35951924.0
1.496,1494.831814186939,2398.514296884667,127.07893860583223,13.880365474014331,5.644508349325977,9572.551,26.76321792602539,9572.551,-841.5439453125,91633730.0
1.5,1499.1233626174628,2148.112649057029,141.89200000000002,16.827629385326414,11.095106634170993,8941.395,26.122480392456055,8941.395,3155.7857421875,79948536.0
1.504,1503.4083990575111,2039.5426984571457,149.44528587558057,18.712511830349495,9.784999999999998,4944.0625,25.174409866333008,4944.0625,5722.4912109375,24443754.0
1.508,1507.871670074286,2232.738034194294,136.51400000000007,20.18501540933337,11.143,-525.96484,24.542495727539062,525.96484,5785.60703125,276639.03
