Time (s),Depth,RD,Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
0.536,551.8781199751638,18.711970810182486,3947.5977,26.732912063598633,3947.5977,-5263.464453125,15583527.0
0.54,556.6343271243775,25.004580954426878,7456.574,28.678237915039062,7456.574,-2061.523828125,55600500.0
0.544,561.5992847873362,30.034014304253308,6140.707,30.618000030517578,6140.707,1228.141015625,37708284.0
0.548,566.5570770722569,30.784132331560937,1973.7988,33.91923141479492,1973.7988,3333.5265625,3895881.8
0.552,571.5401014825932,30.685030444777713,-2193.1113,35.535282135009766,2193.1113,3465.11328125,4809737.5
0.556,576.5487938631632,32.334463815894864,-4386.2188,31.33111000061035,4386.2188,1798.35,19238914.0
0.56,581.5786656838642,34.08558429810909,-4824.8438,225.69444274902344,4824.8438,-657.93359375,23279118.0
0.564,586.5586680026998,24.457,-4166.91,20.289417266845703,4166.91,-2719.45703125,17363140.0
0.568,591.6609914502457,49.819,-1754.4883,20.141965866088867,1754.4883,-3465.114453125,3078229.2
0.572,596.646305413901,34.24128572965621,2851.043,20.639455795288086,2851.043,-2456.28359375,8128446.0
0.576,601.5774169172472,34.53713217675323,8991.75,21.958017349243164,8991.75,219.31015625,80851570.0
0.58,606.4827241439176,40.817368628532606,13816.594,23.225522994995117,13816.594,3947.59765625,190898260.0
0.584,611.469573112146,35.359138070854215,13816.594,23.905296325683594,13816.594,7544.2984375,190898260.0
0.588,616.4420055896217,46.286,7675.883,24.45247459411621,7675.883,9430.37265625,58919176.0
0.592,621.4428918366264,34.9299538572853,-1754.4883,24.12813949584961,1754.4883,8509.26640625,3078229.2
0.596,626.3855266505357,23.839156341507326,-10088.309,23.977073669433594,10088.309,4693.2546875,101773970.0
0.6,631.3515462291994,17.488536446593073,-13816.594,23.975196838378906,13816.594,-833.3828125,190898260.0
0.604,636.0479366852007,15.992425660947575,-12281.418,227.32162475585938,12281.418,-6052.98515625,150833230.0
0.608,641.0163481024813,21.27426962049619,-7675.8867,22.16980743408203,7675.8867,-9123.3390625,58919236.0
0.612,646.0336845983226,22.736,-1535.1777,22.337554931640625,1535.1777,-9079.476953125,2356770.8
0.616,651.1243329674772,23.28784311016038,4386.2188,22.084529876708984,4386.2188,-6184.571484375,19238914.0
0.62,656.257992677034,26.096033555789678,9211.0625,22.76369285583496,9211.0625,-1579.040234375,84843670.0
0.624,661.4656596940281,28.674872444547944,11623.484,23.466445922851562,11623.484,3201.940234375,135105390.0
0.628,666.5765261745166,30.060161986457608,10307.617,24.075368881225586,10307.617,6798.641015625,106246980.0
0.632,671.6448028424286,21.67079928939295,4605.5312,24.60142707824707,4605.5312,8026.7828125,21210918.0
0.636,676.7870824996684,23.482777474323974,-4386.2188,25.228891372680664,4386.2188,6272.2953125,19238914.0
0.64,682.0535889710052,27.814933132461007,-12720.039,25.332550048828125,12720.039,1886.075,161799400.0
0.644,687.2908926907368,30.09779346968425,-16009.703,24.291955947875977,16009.703,-3640.5625,256310600.0
0.648,692.7478691201762,37.52260351695689,-13377.973,226.7748565673828,13377.973,-8377.68046875,178970160.0
0.652,698.0365618661933,26.49061967535917,-6798.6406,21.722782135009766,6798.6406,-10658.51484375,46221516.0
0.656,703.3111217804699,34.79789262316411,438.6211,19.912126541137695,438.6211,-9693.546875,192388.47
0.66,708.778835339542,41.737777106518294,7017.953,19.604581832885742,7017.953,-5745.9484375,49251668.0
0.664,714.259194800675,36.54152337956138,11842.793,20.310924530029297,11842.793,-175.44921875,140251740.0
0.668,719.5734823751491,28.00450473141929,13377.973,21.272377014160156,13377.973,5175.73984375,178970160.0
0.672,724.6449875712128,18.322654526109567,10746.238,22.522823333740234,10746.238,8684.715625,115481640.0
0.676,729.5077985353953,12.593770916192401,4605.5312,23.873037338256836,4605.5312,9518.09765625,21210918.0
0.68,734.5091714566847,15.127,-2193.1113,24.710105895996094,2193.1113,7675.884765625,4809737.5
0.684,739.467323397878,13.65828736214848,-7237.2656,27.22537612915039,7237.2656,3859.873046875,52378012.0
0.688,744.803520589519,21.345851677509998,-8114.508,218.21299743652344,8114.508,-438.623046875,65845236.0
0.692,750.0790289307682,22.99426239000418,-3947.5996,34.93645477294922,3947.5996,-3377.390625,15583543.0
0.696,755.3446036256794,29.915328544854,2631.7305,37.14298629760742,2631.7305,-3772.15078125,6926005.5
0.7,760.6990670000282,23.106432560047985,7456.574,37.74125289916992,7456.574,-1842.213671875,55600500.0
0.704,766.1422935380465,29.3120494638074,6360.0195,34.857574462890625,6360.0195,877.243359375,40449850.0
0.708,771.5483525851448,22.178067601555355,1096.5547,32.00273132324219,1096.5547,2719.455859375,1202432.1
0.712,776.9506765259307,19.56618203281188,-3947.5996,31.54449462890625,3947.5996,2719.455859375,15583543.0
0.716,782.4765200837259,28.694719322240672,-4605.5312,31.23051643371582,4605.5312,1272.003515625,21210918.0
0.72,788.0317325251322,26.251559894133425,-1754.4883,216.1652374267578,1754.4883,-570.208984375,3078229.2
0.724,793.4733536506673,23.003646349331934,657.93164,92.56535339355469,657.93164,-1710.6265625,432874.03
0.728,799.0044684972669,30.66849625163814,219.31055,62.67335891723633,219.31055,-1886.075390625,48097.117
0.732,804.4885317700038,24.456003638311547,-1535.1777,22.755821228027344,1535.1777,-1403.591015625,2356770.8
0.736,809.9735941533997,26.86749148827708,-3070.3555,14.540788650512695,3070.3555,-1096.555859375,9427083.0
0.74,815.3657265116185,16.194624781397614,-4605.5312,7.900062561035156,4605.5312,-1666.764453125,21210918.0
0.744,821.1768292902465,23.118914546116095,-7895.1953,12.46834945678711,7895.1953,-3377.38984375,62334108.0
0.748,826.7270548374119,28.35928096345833,-11184.863,231.3279571533203,11184.863,-5658.224609375,125101170.0
0.752,832.2751766203313,27.260908157427586,-10746.238,21.117673873901367,10746.238,-7500.43671875,115481640.0
0.756,837.7813423606963,17.953128702213455,-4166.91,22.28630256652832,4166.91,-7719.74765625,17363140.0
0.76,842.974237206876,12.789335628974234,6360.0195,21.884143829345703,6360.0195,-5526.6375,40449850.0
0.764,847.9664323170663,10.663873451216375,16229.016,20.959644317626953,16229.016,-701.7953125,263380940.0
0.768,852.9501441698897,11.321498558301087,21931.102,19.90020179748535,21931.102,5921.39765625,480973220.0
0.772,858.3955515003088,11.79518341456656,22369.723,18.98292350769043,22369.723,12544.58984375,500404480.0
0.776,863.6345787087931,12.775383148351628,17764.191,18.46636390686035,17764.191,16930.81015625,315566500.0
0.78,868.9393574878663,11.512244975849228,9430.371,17.930233001708984,9430.371,17544.88046875,88931896.0
0.784,874.0428980803179,10.766860827228488,-1096.5566,17.86577606201172,1096.5566,14079.766015625,1202436.5
0.788,879.6155697294743,18.902,-11842.797,17.848573684692383,11842.797,7324.986328125,140251840.0
0.792,885.1254476974761,18.2000169838501,-20834.547,18.078638076782227,20834.547,-1315.867578125,434078340.0
0.796,890.7047193706544,20.643029329380827,-25878.7,18.791547775268555,25878.7,-10044.445703125,669707100.0
0.8,896.3915750270288,19.34542497296809,-24782.145,230.66970825195312,24782.145,-16886.948828125,614154700.0
0.804,902.0085429664083,22.78863886098127,-17325.57,19.70039939880371,17325.57,-20132.7515625,300175400.0
0.808,907.6867728624095,19.961482007370794,-5921.3984,19.692848205566406,5921.3984,-18948.471875,35062960.0
0.812,912.9253261923926,11.711778189171346,5263.465,19.240097045898438,5263.465,-13728.86953125,27704062.0
0.816,918.1868720553019,11.471270605160944,12720.039,18.210840225219727,12720.039,-6009.121875,161799400.0
0.82,923.5891709642383,13.136025386781181,15571.082,16.50819969177246,15571.082,2061.5234375,242458600.0
0.824,928.9420909748153,13.874672779853809,15351.77,15.207048416137695,15351.77,8596.99140625,235676830.0
0.828,934.796937255924,24.008859057533463,13158.66,14.879419326782227,13158.66,12413.003125,173150340.0
0.832,940.5896776026274,18.163455872612147,9649.684,14.22927474975586,9649.684,13290.246875,93116390.0
0.836,945.7462270016346,11.191876988970295,6140.707,12.735540390014648,6140.707,11974.38046875,37708284.0
0.84,950.729610730188,9.51318442920749,2631.7305,13.471240997314453,2631.7305,9386.51015625,6926005.5
0.844,954.9140223695543,10.412280447391147,-1315.8672,15.803350448608398,1315.8672,6052.9828125,1731506.5
0.848,959.8512981051521,10.824473578866156,-4605.5312,17.506689071655273,4605.5312,2500.14453125,21210918.0
0.852,965.1680207001665,13.75350297718198,-5921.3984,21.10120391845703,5921.3984,-614.071875,35062960.0
