Time (s),Depth,Sonic_Velocity,AC,PERM,PORT,RT,SW,Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
0.752,1883.038109100598,5019.360358864859,,,,,,4529.008,28.310617446899414,4529.008,1954.624609375,20511912.0
0.756,1893.0769483391757,5019.477711861678,,,,,,715.1074,24.76535415649414,715.1074,3003.44765625,511378.62
0.76,1903.1160222866747,5019.595067602219,,,,,,-4052.2695,22.680225372314453,4052.2695,2240.6671875,16420888.0
0.764,1913.155330950207,5019.712426086567,,,,,,-7866.172,19.89715576171875,7866.172,-143.021484375,61876660.0
0.768,1923.1948743298299,5019.829787314722,,,,,,-10249.859,18.826068878173828,10249.859,-3384.837109375,105059620.0
0.772,1933.2346524390352,5019.94715128684,,,,,,-10488.227,231.6115264892578,10488.227,-6388.283984375,110002900.0
0.776,1943.274665276423,5020.064518002908,,,,,,-8342.91,18.551902770996094,8342.91,-8199.8875,69604150.0
0.78,1953.3149128496964,5020.181887463014,,,,,,-3337.164,19.71717643737793,3337.164,-8056.86640625,11136664.0
0.784,1963.355395166759,5020.299259667251,,,,,,2860.4277,19.409555435180664,2860.4277,-5911.546484375,8182047.0
0.788,1973.396112227132,5020.416634615613,,,,,,8342.91,19.682424545288086,8342.91,-2192.992578125,69604150.0
0.792,1983.4370640448692,5020.534012308264,,,,,,10726.598,19.044130325317383,10726.598,2049.972265625,115059896.0
0.796,1993.47825061772,5020.651392745178,,,,,,10011.492,15.302263259887695,10011.492,5720.852734375,100229976.0
0.8,2003.5196719547816,5020.768775926462,,,,,,8581.277,11.353760719299316,8581.277,8104.541015625,73638320.0
0.804,2013.5613280620132,5020.886161852184,,,,,,7866.172,8.583368301391602,7866.172,9105.68984375,61876660.0
0.808,2023.6032189405225,5021.00355052236,,,,,,7151.0664,11.809774398803711,7151.0664,8867.32109375,51137750.0
0.812,2033.6453446040377,5021.120941937146,,,,,,4052.2715,16.528064727783203,4052.2715,7532.455859375,16420904.0
0.816,2043.687705048973,5021.238336096505,,,,,,-1906.9492,19.59925651550293,1906.9492,5148.767578125,3636455.2
0.82,2053.730300287805,5021.355733000579,,,,,,-8581.277,21.691431045532227,8581.277,1716.256640625,73638320.0
0.824,2063.7731303218166,5021.473132649385,,,,,,-11918.441,21.832822799682617,11918.441,-2240.666015625,142049250.0
0.828,2073.816195157334,5021.590535042997,,,,,,-10726.598,229.3634033203125,10726.598,-5816.198828125,115059896.0
0.832,2083.8594948023137,5021.707940181506,,,,,,-6912.6953,18.558828353881836,6912.6953,-8009.1921875,47785356.0
