Time (s),Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
0.48,-520.8086,30.17989158630371,520.8086,-1330.95458984375,271241.6
0.484,173.60254,53.0043830871582,173.60254,-1423.5427734375,30137.842
0.488,-289.3379,110.72064208984375,289.3379,-1087.9107421875,83716.414
0.492,-1099.4844,29.37042999267578,1099.4844,-740.7052734375,1208865.9
0.496,-1446.69,222.8889923095703,1446.69,-636.54365234375,2092911.8
0.5,-925.88135,25.465904235839844,925.88135,-717.558203125,857256.25
0.504,57.867676,24.744821548461914,57.867676,-740.70517578125,3348.668
0.508,983.749,26.570926666259766,983.749,-486.08779296875,967762.1
0.512,1157.3511,28.31395721435547,1157.3511,-34.720703125,1339461.5
0.516,520.8081,33.10400390625,520.8081,358.77890625,271241.1
0.52,-173.60303,77.96790313720703,173.60303,509.2345703125,30138.012
0.524,-57.867676,170.86074829101562,57.867676,486.0875,3348.668
0.528,810.146,33.368038177490234,810.146,451.36689453125,656336.56
0.532,1562.4243,29.617538452148438,1562.4243,532.38154296875,2441169.8
0.536,1446.69,27.07341194152832,1446.69,717.55791015625,2092911.8
0.54,578.6758,25.734127044677734,578.6758,868.013671875,334865.66
0.544,-578.6758,25.579130172729492,578.6758,763.85205078125,334865.66
0.548,-1446.69,26.07692527770996,1446.69,312.48486328125,2092911.8
0.552,-1562.4248,222.40907287597656,1562.4248,-312.4849609375,2441171.2
0.556,-925.88135,27.93461799621582,925.88135,-786.99921875,857256.25
0.56,0.0,30.55663299560547,0.0,-902.734375,0.0
0.564,694.41064,35.52192687988281,694.41064,-648.11708984375,482206.16
0.568,694.41064,36.15275955200195,694.41064,-219.89697265625,482206.16
0.572,289.3379,36.86178207397461,289.3379,150.45556640625,83716.414
0.576,-405.07324,37.805389404296875,405.07324,254.6171875,164084.33
0.58,-810.1465,31.649188995361328,810.1465,92.587890625,656337.3
0.584,-810.1465,222.8072509765625,810.1465,-208.32353515625,656337.3
0.588,-405.07324,25.879871368408203,405.07324,-428.2203125,164084.33
0.592,0.0,18.936351776123047,0.0,-486.087890625,0.0
0.596,347.20557,16.288705825805664,347.20557,-335.63212890625,120551.7
0.6,752.2783,18.559947967529297,752.2783,-23.14716796875,565922.7
0.604,1099.4839,23.25153923034668,1099.4839,358.77890625,1208864.9
0.608,925.88135,26.763288497924805,925.88135,624.96982421875,857256.25
0.612,347.20557,25.542879104614258,347.20557,694.4109375,120551.7
0.616,-231.47021,26.443082809448242,231.47021,578.67578125,53578.46
0.62,-405.07324,24.464523315429688,405.07324,347.20546875,164084.33
0.624,-289.3379,13.166327476501465,289.3379,69.44111328125,83716.414
0.628,-173.60303,8.699896812438965,173.60303,-150.45576171875,30138.012
0.632,-115.73535,21.52544593811035,115.73535,-243.0439453125,13394.672
0.636,-231.47021,12.487748146057129,231.47021,-243.0439453125,53578.46
0.64,-289.3379,223.36000061035156,289.3379,-219.896875,83716.414
0.644,-115.73535,36.61552810668945,115.73535,-185.1763671875,13394.672
0.648,347.20557,44.08894348144531,347.20557,-81.0146484375,120551.7
0.652,694.41064,41.90592956542969,694.41064,81.01455078125,482206.16
0.656,405.07275,35.82465362548828,405.07275,208.32314453125,164083.94
0.66,-520.8086,30.487924575805664,520.8086,162.02900390625,271241.6
0.664,-1678.1602,28.714855194091797,1678.1602,-150.45595703125,2816221.5
0.668,-2198.9683,222.50755310058594,2198.9683,-659.69072265625,4835461.5
0.672,-1736.0278,24.190319061279297,1736.0278,-1145.77841796875,3013792.8
0.676,-462.94092,23.547903060913086,462.94092,-1319.38115234375,214314.3
0.68,1388.8218,24.167104721069336,1388.8218,-937.455078125,1928825.9
0.684,2951.2466,23.570905685424805,2951.2466,-11.57373046875,8709856.0
0.688,3529.9224,24.044265747070312,3529.9224,1134.20439453125,12460352.0
0.692,2719.776,23.277082443237305,2719.776,2025.36513671875,7397181.0
0.696,1215.2192,21.193334579467773,1215.2192,2360.99716796875,1476757.8
0.7,-405.07324,20.240629196166992,405.07324,2002.2181640625,164084.33
0.704,-1736.0278,19.175703048706055,1736.0278,1064.76328125,3013792.8
0.708,-2661.9092,18.98441505432129,2661.9092,-173.60302734375,7085760.5
0.712,-3009.1147,229.7900390625,3009.1147,-1319.38115234375,9054772.0
0.716,-2488.3062,20.89735221862793,2488.3062,-2060.08623046875,6191667.5
0.72,-1388.8223,19.608562469482422,1388.8223,-2256.83603515625,1928827.2
0.724,-173.60303,18.402610778808594,173.60303,-1944.35107421875,30138.012
0.728,1041.6167,18.381128311157227,1041.6167,-1203.6458984375,1084965.4
0.732,2198.9683,19.150306701660156,2198.9683,-162.029296875,4835461.5
0.736,3066.982,22.613420486450195,3066.982,949.0283203125,9406378.0
0.74,2777.644,24.762760162353516,2777.644,1782.32158203125,7715306.5
0.744,1330.9546,24.96733856201172,1330.9546,2083.23310546875,1771440.1
0.748,-520.8086,24.902124404907227,520.8086,1770.748046875,271241.6
0.752,-1793.895,23.300649642944336,1793.895,972.175390625,3218059.2
0.756,-2198.9683,20.783079147338867,2198.9683,-81.0146484375,4835461.5
0.76,-2025.3657,231.742431640625,2025.3657,-1041.6166015625,4102106.2
0.764,-1620.2925,15.858731269836426,1620.2925,-1631.866015625,2625347.8
0.768,-1157.352,14.199241638183594,1157.352,-1759.17470703125,1339463.8
0.772,-578.6758,14.416357040405273,578.6758,-1516.130859375,334865.66
0.776,289.3379,15.746648788452148,289.3379,-1018.46962890625,83716.414
0.78,1504.5571,17.13347816467285,1504.5571,-312.48505859375,2263692.2
0.784,2951.2466,19.604528427124023,2951.2466,601.82275390625,8709856.0
0.788,3934.9956,20.48931121826172,3934.9956,1620.29228515625,15484190.0
0.792,3877.1284,21.187637329101562,3877.1284,2511.453125,15032125.0
0.796,2372.5708,21.644268035888672,2372.5708,2928.09970703125,5629092.0
0.8,-115.73535,21.05974006652832,115.73535,2604.0412109375,13394.672
0.804,-2893.3794,21.153162002563477,2893.3794,1435.116015625,8371644.5
0.808,-4918.742,20.456111907958984,4918.742,-335.63154296875,24194024.0
0.812,-5728.8906,19.415571212768555,5728.8906,-2256.8353515625,32820188.0
0.816,-5208.082,230.82740783691406,5208.082,-3772.96591796875,27124118.0
0.82,-3587.7903,18.27107810974121,3587.7903,-4467.376904296875,12872239.0
0.824,-1099.4844,18.691621780395508,1099.4844,-4108.597900390625,1208865.9
0.828,2198.9683,20.319812774658203,2198.9683,-2685.055810546875,4835461.5
0.832,5265.949,21.306169509887695,5265.949,-486.087841796875,27730222.0
0.836,6828.371,22.10495376586914,6828.371,1921.202783203125,46626652.0
0.84,6076.0938,22.385223388671875,6076.0938,3853.97958984375,36918916.0
0.844,3529.9224,21.891036987304688,3529.9224,4779.8609375,12460352.0
0.848,347.20557,21.5701961517334,347.20557,4409.5083984375,120551.7
0.852,-2546.1738,21.844043731689453,2546.1738,2847.0837890625,6483001.0
0.856,-4455.801,22.973596572875977,4455.801,590.2494140625,19854160.0
0.86,-4687.2734,225.07461547851562,4687.2734,-1562.4240234375,21970532.0
