Time (s),Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy,Lithology_label,Strat_Simplified_Viro_label,TEMP,RD,Lithology_name,Strat_Simplified_Viro_name
0.112,-1793.895,24.81637191772461,1793.895,-2060.08603515625,3218059.2,18,1,43.576624652243936,9.708301232184295,marly clays and sandstones,Bilogora
0.116,173.60254,27.72360038757324,173.60254,-1909.63037109375,30137.842,13,1,43.70242942879879,10.377487896781068,gravel and clays,Bilogora
0.12,1851.7622,30.657176971435547,1851.7622,-1122.63134765625,3429023.2,6,5,43.7405767053808,9.481551046833394,clay and sand,Lonja
0.124,1967.4976,34.161033630371094,1967.4976,-138.882421875,3871046.8,13,5,43.78003405771965,9.431346004699472,gravel and clays,Lonja
0.128,636.54346,39.46636962890625,636.54346,567.1021484375,405187.56,13,5,43.759705893970725,9.83311034865562,gravel and clays,Lonja
0.132,-752.2788,47.82229995727539,752.2788,775.425390625,565923.4,13,5,43.79790622348455,9.702810235117072,gravel and clays,Lonja
0.136,-1099.4844,201.0682067871093,1099.4844,520.8080078125,1208865.9,13,5,43.69684963396554,9.72166599152384,gravel and clays,Lonja
0.14,-289.3379,38.98504638671875,289.3379,92.58798828125,83716.414,13,5,43.74264903025717,9.954724300398736,gravel and clays,Lonja
0.144,1099.4839,31.414426803588867,1099.4839,-81.01474609375,1208864.9,13,5,43.77756838948634,9.774546449495498,gravel and clays,Lonja
0.148,2314.7036,27.7934799194336,2314.7036,254.61728515625,5357853.0,10,1,43.77988453889101,9.911600841343928,clays and gravel,Bilogora
0.152,2661.9087,26.67189598083496,2661.9087,937.45478515625,7085758.0,10,1,43.87835745048834,9.852069306531485,clays and gravel,Bilogora
0.156,1620.2925,26.543231964111328,1620.2925,1481.41015625,2625347.8,18,1,43.91755449192264,10.020222512976424,marly clays and sandstones,Bilogora
0.16,-578.6758,26.362285614013672,578.6758,1423.542578125,334865.66,18,1,43.87242340222607,10.47531686073185,marly clays and sandstones,Bilogora
0.164,-2893.3794,26.02356719970703,2893.3794,624.969921875,8371644.5,18,1,43.610903891658566,9.414366261438806,marly clays and sandstones,Bilogora
0.168,-4166.465,26.05522727966309,4166.465,-671.26376953125,17359430.0,10,1,43.55840427379839,9.63778033400021,clays and gravel,Bilogora
0.172,-3587.7903,223.4910430908203,3587.7903,-1921.203564453125,12872239.0,6,1,43.571538429396895,9.994372802280584,clay and sand,Bilogora
0.176,-1388.8223,26.42369079589844,1388.8223,-2523.026513671875,1928827.2,18,1,43.61030818835603,9.751988422663612,marly clays and sandstones,Bilogora
0.18,1215.2192,26.62932205200196,1215.2192,-2164.247509765625,1476757.8,18,1,43.72743046199755,9.83276652005406,marly clays and sandstones,Bilogora
0.184,2835.5112,27.380311965942383,2835.5112,-1018.469384765625,8040124.0,10,1,43.727965154490654,9.389320603364371,clays and gravel,Bilogora
0.188,2661.9087,26.664674758911133,2661.9087,347.205322265625,7085758.0,10,1,43.77730086096933,9.537516381182554,clays and gravel,Bilogora
0.192,1446.69,25.75567054748535,1446.69,1354.1013671875,2092911.8,18,1,43.91755449192264,10.033751676684746,marly clays and sandstones,Bilogora
0.196,231.47021,25.118385314941406,231.47021,1678.15986328125,53578.46,13,5,43.899198554343,10.429044675601077,gravel and clays,Lonja
0.2,-173.60303,17.97254180908203,173.60303,1400.39541015625,30138.012,6,5,43.246464709680055,10.563116950931006,clay and sand,Lonja
0.204,-57.867676,3.5376298427581787,57.867676,821.71962890625,3348.668,6,5,43.2073588953496,11.053151268777247,clay and sand,Lonja
0.208,0.0,7.218921661376953,0.0,289.337890625,0.0,6,5,43.06801221803258,10.97106161932968,clay and sand,Lonja
0.212,0.0,1.4229560292733368e-05,0.0,-9.765625e-05,0.0,6,5,43.06801221803258,11.044522217828082,clay and sand,Lonja
0.216,231.47021,30.251251220703125,231.47021,-9.765625e-05,53578.46,13,5,43.74998367836591,10.367385440822158,gravel and clays,Lonja
0.22,231.47021,16.402236938476562,231.47021,81.01455078125,53578.46,6,5,43.06801221803258,10.716608446834606,clay and sand,Lonja
0.224,-173.60303,20.923643112182617,173.60303,57.86748046875,30138.012,6,5,42.99686989516063,10.392797468498664,clay and sand,Lonja
