Time (s),Depth,Sonic_Velocity,AC,PHIT,R64,RD,TEMP,SW,Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
1.168,1935.9939940694494,4341.704924514971,70.20296366289926,0.0881324269996861,41.94397331251962,26.27900371906915,88.70462582801402,1.0,-1288.96,43.183494567871094,1288.96,1009.687109375,1661417.8
1.172,1944.7832898079605,4382.372697858039,69.55189038706736,0.1575506528805468,37.72580935888034,26.428031515764303,88.95393211462299,1.0,-751.8926,197.9061279296875,751.8926,537.0681640625,565342.44
1.176,1953.714428355569,4340.5213194892685,70.22370642143811,0.20532341475622878,41.157118823987695,22.95,89.20730399395585,1.0,751.89453,50.5713996887207,751.89453,107.414453125,565345.4
1.18,1962.6206624543797,4179.3285730365105,72.93057411407378,0.2163553628192898,41.28712617245819,31.042953848588702,89.45997854872284,1.0,1718.6152,40.44456100463867,1718.6152,64.4490234375,2953638.2
1.184,1971.3610549794626,4175.300795356773,73.00189122284443,0.13359450205425477,39.19771945998424,18.663394959899826,89.7079095394248,1.0,1288.9619,32.649112701416016,1288.9619,343.723828125,1661422.9
1.188,1979.636800057245,4154.456363215069,73.367,0.2161624010305075,26.89482416774372,12.845848135110984,89.94266720166026,1.0,107.41406,26.74590492248535,107.41406,622.9986328125,11537.781
1.192,1987.701108501548,4077.3564243616665,74.75437116076252,0.15875256929455128,33.24274034742522,29.123242837796656,90.17143103804325,1.0,-966.7197,22.132999420166016,966.7197,580.033203125,934547.0
1.196,1996.1862120683502,4204.894334830794,72.48754816872805,0.2485,40.8829711545006,18.42561151011644,90.41211393791377,1.0,-1611.2002,17.224939346313477,1611.2002,107.4142578125,2595966.0
1.2,2004.826296180678,4503.170180780886,67.70519188226488,0.13314852534003974,40.1736743261235,28.460658507308725,90.65723629305896,1.0,-2148.2666,14.116776466369629,2148.2666,-665.962109375,4615049.5
1.204,2013.6132257354527,4283.990523042735,71.1486807864312,0.13771775364881805,27.714980500341884,23.05156510889473,90.90648354632839,1.0,-2792.747,233.17437744140625,2792.747,-1482.30390625,7799436.0
1.208,2022.352034743047,4412.910270879025,69.07135258403599,0.12303168731261709,37.80240694860851,24.34006096998397,91.15440900754824,1.0,-2792.747,21.759578704833984,2792.747,-2062.3361328125,7799436.0
1.212,2030.9191307461385,4328.551009080188,70.41626149225974,0.1216669397089871,33.89774848925662,30.221,91.39743566089163,1.0,-1074.1328,25.286663055419922,1074.1328,-2083.81875,1153761.2
1.216,2039.6962616892408,4689.769098973686,64.99256076158596,0.22178317797587246,39.54791590485121,21.69176640985039,91.64649158898794,1.0,2148.2686,27.25476837158203,2148.2686,-1331.925,4615058.0
1.22,2048.4686145382593,4216.555017098895,72.29819839794594,0.24371687229534358,39.81860795276615,17.752,91.89532120707115,1.0,4941.0156,28.230239868164062,4941.0156,85.9314453125,24413636.0
