Time (s),Depth,Sonic_Velocity,AC,PORT,R64,SW,RT,POR,PORW,Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
0.592,925.078067027868,3220.714312408323,94.64035460538874,,12.506297427247144,,,,,4895.375,27.08599090576172,4895.375,8066.7302734375,23964696.0
0.596,931.7665306245691,3540.727661354026,86.084,,9.816465324365984,,,,,-2766.9521,27.443946838378906,2766.9521,7343.0658203125,7656024.0
0.6,938.6352450410699,3303.1207326941144,92.29573810453532,,7.5985505830525595,,,,,-7343.0664,28.02164077758789,7343.0664,4022.7228515625,53920624.0
0.604,944.7301650993521,3252.4142346476015,93.71500000000002,,6.5244792476875375,,,,,-7236.6445,221.27365112304688,7236.6445,-148.9904296875,52369024.0
0.608,951.8921592602723,3768.4106911538506,80.90291463907712,,15.67319540712556,,,,,-3724.7441,30.225788116455078,3724.7441,-3235.2064453125,13873719.0
0.612,959.3638272994123,3342.962817947981,91.17670712818563,,16.26136055772866,,,,,638.5283,32.949581146240234,638.5283,-4086.57578125,407718.4
0.616,966.3408928711326,4171.440668172322,73.07651629262818,,10.206757117113481,,,,,3086.2178,34.962379455566406,3086.2178,-2915.941796875,9524740.0
0.62,973.5231317751688,3483.442377617664,87.50622249508613,,14.271473187546874,,,,,2979.796,37.40281677246094,2979.796,-851.3693359375,8879184.0
0.624,980.6910574541896,3678.0055749297103,82.871,,16.638958865776875,,,,,638.5283,38.98694610595703,638.5283,723.665234375,407718.4
0.628,987.9137482196583,3721.602224608229,81.90233395320399,,15.244859669245283,,,,,-2022.0039,34.811912536621094,2022.0039,1064.21328125,4088499.8
0.632,995.3527055499328,3991.58587164708,76.36181446609073,,15.300837667004073,,,,,-3618.3232,30.72380256652832,3618.3232,212.84296875,13092263.0
0.636,1002.8410968405955,3493.7464946502832,87.24259701960816,,15.732260673050593,,,,,-3299.0586,219.2559814453125,3299.0586,-1064.2123046875,10883788.0
0.64,1009.9789251153019,3482.6111851779483,87.52176867585955,,11.552074884699936,,,,,-851.3701,29.167922973632812,851.3701,-1830.4455078125,724831.06
0.644,1017.221498921854,3642.6650731998807,83.675,,19.717098490589297,,,,,2341.2686,27.87172508239746,2341.2686,-1489.8974609375,5481538.5
0.648,1024.6598755941866,2949.1161359612206,103.353,,16.48002019829169,,,,,4788.957,28.10999870300293,4788.957,-127.7052734375,22934110.0
0.652,1031.0490091843121,3419.053762563103,89.14750072384037,,8.34430642902153,,,,,5001.797,27.912555694580078,5001.797,1596.31875,25017972.0
0.656,1037.921566821108,3374.3837306207547,90.3288184265598,,8.092882027798161,,,,,2660.5322,28.36488151550293,2660.5322,2788.2369140625,7078431.5
0.66,1045.531509451998,3593.881970572675,84.81082454652105,,18.3,,,,,-1064.2119,28.33698844909668,1064.2119,2745.6685546875,1132547.0
0.664,1052.8473309297808,3608.039963067308,84.478,,16.78774373433257,,,,,-4150.426,28.339536666870117,4150.426,1447.3296875,17226034.0
0.668,1060.3280013723368,3445.6584355694386,88.48255635958802,,16.5441565279798,,,,,-5001.797,221.02197265625,5001.797,-510.82109375,25017972.0
0.672,1067.9248337490685,3618.7923092863207,84.22708416438672,,17.7,,,,,-3299.0586,28.65584945678711,3299.0586,-2170.9921875,10883788.0
0.676,1075.0557429878443,3112.363680921456,97.932,,9.528057807861211,,,,,-212.84277,29.132057189941406,212.84277,-2745.6671875,45302.047
0.68,1082.2581305607623,4032.9851502730353,75.66541527186179,,17.789814235554907,,,,,2447.6895,29.389997482299805,2447.6895,-2043.2869140625,5991183.5
0.684,1089.7565824134294,3592.257711926888,84.93489845620313,,13.013073193705326,,,,,3192.6377,27.68048095703125,3192.6377,-574.67421875,10192935.0
0.688,1097.092394402391,3521.497083771051,86.55475460230332,,12.089543664144005,,,,,2341.2686,25.886018753051758,2341.2686,893.9388671875,5481538.5
0.692,1104.2229306939275,3854.1791542715437,79.0852241669948,,13.58036475438928,,,,,1064.2129,21.25763511657715,1064.2129,1766.5931640625,1132549.1
0.696,1111.7850744516977,3545.0608042819094,85.98115148530873,,12.601030602195797,,,,,319.26367,14.068559646606445,319.26367,1873.014453125,101929.29
0.7,1118.9005640219439,4135.657504566429,73.70056689648743,,14.486759748433718,,,,,212.84277,1.9024542570114136,212.84277,1426.0451171875,45302.047
0.704,1125.9812687129868,3380.0345527283625,90.18788659109465,,8.900752245558186,,,,,106.421875,4.428239345550537,106.421875,808.801953125,11325.615
0.708,1133.5881513024876,3885.672539205092,78.44203281552144,,18.258842935668433,,,,,-1064.2119,18.995609283447266,1064.2119,127.705859375,1132547.0
0.712,1141.6647150697866,3845.7170975434346,79.257,,19.59983372746342,,,,,-2873.374,22.59368324279785,2873.374,-659.8115234375,8256278.5
0.716,1149.0555122363376,2898.412909728892,105.16100000000002,,14.348373620200778,,,,,-4256.8477,224.4099578857422,4256.8477,-1575.0337890625,18120752.0
