Time (s),Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
3.879,-9931.680664062544,174.17328786850513,9931.680664062544,-8938.512207031334,98638280.8129138
3.88,-10332.9609375,222.5604248046875,10332.9609375,-9530.400390625055,106770081.73590088
3.8810000000000002,-9455.160156249707,173.55271911619462,9455.160156249707,-9675.864453124996,89400053.58033198
3.882,-8577.359374999805,124.54501342772349,8577.359374999805,-9565.51230468743,73571093.84789705
3.883,-7699.558593749903,75.53730773925238,7699.558593749903,-9199.343945312394,59283202.53858798
3.884,-6821.7578125,26.52960205078125,6821.7578125,-8577.359374999884,46536379.652404785
3.8850000000000002,-5041.078613280657,26.408170700073203,5041.078613280657,-7518.982910156015,25412473.58527563
3.886,-3260.399414062105,26.286739349365206,3260.399414062105,-6280.030761718494,10630204.339216517
3.887,-1479.7202148435526,26.165307998657212,1479.7202148435526,-4860.5029296872435,2189571.9142166497
3.888,300.958984375,26.04387664794922,300.958984375,-3260.399414062264,90576.3102760315
3.8890000000000002,2106.719238281851,25.921773433685264,2106.719238281851,-1474.7040039058932,4438265.948946863
3.89,3912.479492187901,25.79967021942136,3912.479492187901,316.00761718781825,15307495.776790896
3.891,5718.23974609395,25.677567005157456,5718.23974609395,2111.7354492190293,32698265.7938086
3.892,7524.0,25.555463790893555,7524.0,3912.47949218774,56610576.0
3.8930000000000002,8552.279296875342,25.604293346405047,8552.279296875342,5562.743554687809,73141481.1717626
3.894,9580.55859375023,25.653122901916515,9580.55859375023,7057.511425781483,91787102.96828137
3.895,10608.837890625115,25.701952457427986,10608.837890625115,8396.783105468927,112547441.38956313
3.896,11637.1171875,25.750782012939453,11637.1171875,9580.558593750136,135422496.4356079
3.8970000000000002,11386.317382812416,25.794339656829848,11386.317382812416,10353.022070312622,129648223.54213619
3.898,11135.517578124944,25.837897300720226,11135.517578124944,10869.66972656254,123999751.73272961
3.899,10884.717773437473,25.8814549446106,10884.717773437473,11130.501562499989,118477081.00738561
3.9,10633.91796875,25.925012588500977,10633.91796875,11135.517578124965,113080211.36610413
3.9010000000000002,9329.757812499565,25.93031883239746,9329.757812499565,10674.045703124877,87044380.83989668
3.902,8025.597656249711,25.935625076293945,8025.597656249711,10001.901757812338,64410217.74000085
3.903,6721.437499999855,25.94093132019043,6721.437499999855,9119.085742187319,45177722.066404305
3.904,5417.27734375,25.946237564086914,5417.27734375,8025.597656249825,29346893.819107056
3.9050000000000002,3686.7578124994234,26.170879840850905,3686.7578124994234,6636.16562499971,13592183.168025533
3.906,1956.2382812496157,26.395522117614796,1956.2382812496157,5161.461718749721,3826868.2130264505
3.907,225.7187499998081,26.620164394378687,225.7187499998081,3601.4859374997404,50948.954101475865
3.908,-1504.80078125,26.844806671142578,1504.80078125,1956.2382812497685,2264425.3912506104
3.9090000000000003,-2783.880859375426,26.976405620574994,2783.880859375426,316.0066406246835,7749992.639196861
3.91,-4062.9609375002838,27.108004570007353,4062.9609375002838,-1233.937109375258,16507651.579653185
3.911,-5342.041015625142,27.23960351943971,5342.041015625142,-2693.5929687502094,28537402.212621298
3.912,-6621.12109375,27.37120246887207,6621.12109375,-4062.960937500171,43839244.5381012
3.9130000000000003,-6922.0810546876,27.51748752593999,6922.0810546876,-5146.416992187691,47915206.127665
3.914,-7223.041015625066,27.663772583007844,7223.041015625066,-6034.249023437619,52172321.51340199
3.915,-7524.000976562534,27.8100576400757,7524.000976562534,-6726.45703125007,56610590.69531396
3.916,-7824.9609375,27.956342697143555,7824.9609375,-7223.041015625041,61230013.67340088
3.9170000000000003,-7147.800781249774,76.14143991471943,7147.800781249774,-7328.376953124995,51091056.008434884
3.918,-6470.64062499985,124.32653713227388,6470.64062499985,-7238.0888671874445,41869190.097898446
3.919,-5793.4804687499245,172.51163434982834,5793.4804687499245,-6952.176757812417,33564415.94178685
3.92,-5116.3203125,220.6967315673828,5116.3203125,-6470.640624999911,26176733.540100098
3.9210000000000003,-4012.8005371090076,172.86951780317622,4012.8005371090076,-5708.208544921712,16102568.15062234
3.922,-2909.280761718505,125.04230403899085,2909.280761718505,-4860.504541015458,8463914.550505403
3.923,-1805.7609863280022,77.21509027480548,1805.7609863280022,-3927.5286132810884,3260772.7397442795
3.924,-702.2412109375,29.387876510620117,702.2412109375,-2909.2807617186036,493142.71833896637
3.9250000000000003,150.479003906534,29.266106128692588,150.479003906534,-1855.920898437297,22643.930616702673
3.926,1003.1992187501892,29.14433574676511,1003.1992187501892,-852.7209472654574,1006408.6725009899
3.927,1855.9194335938446,29.022565364837632,1855.9194335938446,100.31909179701238,3444436.943991297
3.928,2708.6396484375,28.900794982910156,2708.6396484375,1003.1992187501128,7336728.745087624
3.9290000000000003,3009.5996093751,28.5180273056029,3009.5996093751,1745.5673828126328,9057689.808750754
3.93,3310.559570312567,28.135259628295813,3310.559570312567,2377.5834960938396,10959804.668588128
3.931,3611.519531250033,27.752491950988727,3611.519531250033,2899.247558593808,13043073.32460046
3.932,3912.4794921875,27.36972427368164,3912.4794921875,3310.559570312539,15307495.776787758
3.9330000000000003,3812.159423828092,26.154973030089927,3812.159423828092,3531.263525390658,14532559.472681329
3.934,3711.8393554687277,24.940221786498753,3711.8393554687277,3671.711474609383,13777751.4008065
3.935,3611.519287109364,23.72547054290758,3611.519287109364,3731.903417968743,13043071.56116293
3.936,3511.19921875,22.510719299316406,3511.19921875,3711.8393554687364,12328519.95375061
3.9370000000000003,3310.559326171808,21.773952960967772,3310.559326171808,3591.4553222655973,10959803.052103136
3.938,3109.9194335937054,21.037186622619465,3109.9194335937054,3451.00732421872,9671598.883443793
3.939,2909.2795410156027,20.30042028427116,2909.2795410156027,3290.495361328095,8463907.447771955
3.94,2708.6396484375,19.56365394592285,2708.6396484375,3109.9194335937223,7336728.745087624
3.9410000000000003,2357.519531249883,19.566012859344482,2357.519531249883,2879.183496093699,5557898.340224668
3.942,2006.399414062422,19.568371772766113,2006.399414062422,2618.351513671822,4025638.6087500304
3.943,1655.279296874961,19.570730686187744,1655.279296874961,2327.423486328073,2739949.550662865
3.944,1304.1591796875,19.573089599609375,1304.1591796875,2006.3994140624523,1700831.165963173
3.9450000000000003,677.1591796872912,19.92317676544201,677.1591796872912,1600.1033203124107,458544.5546347651
3.946,50.15917968736085,20.273263931274492,50.15917968736085,1138.6312499999062,2515.943306908953
3.947,-576.8408203125696,20.623351097106973,576.8408203125696,621.9832031249078,332745.3319788782
3.948,-1203.8408203125,20.973438262939453,1203.8408203125,50.15917968741574,1449232.720650673
3.9490000000000003,-2131.8005371096842,21.619470596313693,2131.8005371096842,-637.032763672021,4544573.5300211385
3.95,-3059.760253906456,22.265502929687642,3059.760253906456,-1384.4166503907704,9362132.8113857
3.951,-3987.7199707032282,22.911535263061594,3987.7199707032282,-2191.992480468888,15901910.564745355
3.952,-4915.6796875,23.557567596435547,4915.6796875,-3059.7602539063746,24163906.790100098
3.9530000000000003,-5693.160156250259,24.011628627777252,5693.160156250259,-3957.624121093926,32412072.564715475
3.954,-6470.640625000173,24.465689659118752,6470.640625000173,-4825.392138672024,41869190.097902626
3.955,-7248.121093750086,24.919750690460255,7248.121093750086,-5663.06430664075,52535259.38966495
3.956,-8025.6015625,25.373811721801758,8025.6015625,-6470.640625000105,64410280.44000244
3.9570000000000003,-7975.441406249984,74.99427938462956,7975.441406249984,-7082.592968750102,63607665.62452672
3.958,-7925.281249999989,124.61474704743533,7925.281249999989,-7529.017187500047,62810082.89160139
3.959,-7875.1210937499945,174.2352147102411,7875.1210937499945,-7809.913281250012,62017532.24122611
3.96,-7824.9609375,223.85568237304688,7824.9609375,-7925.2812499999945,61230013.67340088
3.9610000000000003,-6771.601074218399,174.3696336746051,6771.601074218399,-7674.481152343675,45854581.108355775
3.962,-5718.241210937266,124.8835849761853,5718.241210937266,-7223.0411132811305,32698282.54646129
3.963,-4664.881347656134,75.39753627776551,4664.881347656134,-6570.961132812359,21761117.987710103
3.964,-3611.521484375,25.911487579345703,3611.521484375,-5718.241210937361,13043087.432102203
