Time (s),Depth,Sonic_Velocity,AC,R64,TEMP,RT,Amplitude,Instantaneous_freq,Amplitude_abs,Amplitude_roll_mean,Amplitude_energy
0.448,454.00483636656196,2072.719817514126,147.0531636334381,16.767790908359522,45.61790327266876,,10307.617,23.23244857788086,10307.617,4035.321875,106246980.0
0.452,458.28339671002993,2020.3090877268414,150.86804054704265,17.76121798774755,45.678,,6579.328,23.79932403564453,6579.328,7281.12421875,43287560.0
0.456,462.5889576036497,2778.772134560779,109.7011817341452,17.05549824875732,45.72043551152564,,1096.5547,25.39390754699707,1096.5547,7412.7109375,1202432.1
0.46,467.1119685925704,2210.4712018199125,137.88918250078615,18.69409938365967,45.767,,-4166.91,26.14984893798828,4166.91,5000.28984375,17363140.0
0.464,471.7451031784504,2183.2657250035327,139.62011827782814,20.743,45.97215722249154,,-7237.2656,26.159500122070312,7237.2656,1315.86484375,52378012.0
0.468,475.9709210516555,2160.4682770636646,141.08065526606575,20.240943421218518,46.119836842066235,,-7237.2656,225.6750946044922,7237.2656,-2193.11171875,52378012.0
0.472,480.38821501631674,2216.717568521096,137.50304879208284,18.386232252447623,46.220117849836825,,-5263.465,21.423067092895508,5263.465,-4561.6703125,27704062.0
0.476,484.7041611292189,2116.8375481421263,143.988400165077,15.450424086844578,46.22420805646102,,-2412.4219,18.922330856323242,2412.4219,-5263.465625,5819779.5
0.48,488.91359005207,2160.0928025190037,141.10504869635503,17.76250734063906,46.45044620937278,,877.2422,17.255224227905273,877.2422,-4254.63515625,769553.9
0.484,493.23876303282503,2197.421922311619,138.708,17.591748294220295,46.67038763032826,,5044.1523,18.17123794555664,5044.1523,-1798.3515625,25443472.0
0.488,497.58783756975254,2210.4773922801855,137.88879676380543,20.74104080594604,46.875851370117395,,9430.371,19.58722496032715,9430.371,1535.17578125,88931896.0
0.492,502.06091873060484,2313.472485768501,131.75,24.537528622284572,46.89843674922416,,12062.105,21.255666732788086,12062.105,5000.28984375,145494380.0
0.496,506.6856921651376,2313.472485768501,131.75,23.503413750643087,46.83528615669722,,10526.93,21.96063995361328,10526.93,7588.16015625,110816250.0
0.5,511.34289652455305,2230.321765678204,136.66302737019325,21.75792281187688,46.84629240917394,,5482.7734,21.1777400970459,5482.7734,8509.26640625,30060804.0
0.504,515.6125693993056,2103.577983860838,144.89601310461617,14.406874306006953,46.895,,-438.62305,20.17250633239746,438.62305,7412.711328125,192390.17
0.508,519.8545128423581,2155.993268883001,141.3833235813375,13.675819486305679,46.94145487157642,,-4166.91,16.792781829833984,4166.91,4693.255078125,17363140.0
0.512,524.3011830058957,2124.2485578491396,143.48606254518737,14.585402222003971,47.02798816994106,,-5482.7773,11.191975593566895,5482.7773,1184.278515625,30060848.0
0.516,528.6273450662275,2152.6593548283777,141.60159651130138,15.849405354965754,47.180093802649075,,-6579.332,8.92133617401123,6579.332,-2236.973828125,43287610.0
0.52,533.1183397859675,2066.560384387286,147.49149617407346,16.24049806421003,47.181,,-8553.129,11.547107696533203,8553.129,-5044.154296875,73156020.0
0.524,537.6377241086273,2194.273866687784,138.907,15.780389685941747,47.28762275891373,,-10307.617,232.1952362060547,10307.617,-7017.953125,106246980.0
0.528,542.1564004517685,2348.2454996116576,129.79971069706005,15.768672894502332,47.368204049694576,,-8553.129,22.223604202270508,8553.129,-7895.196875,73156020.0
0.532,547.0004507681574,2378.5900113755465,128.14597553081487,18.72288280027908,47.43304507681574,,-2851.045,24.45458984375,2851.045,-7368.850390625,8128457.0
0.536,551.8781199751638,2394.0055519705993,129.2750968112723,18.711970810182486,47.529,9.150844403228593,3947.5977,26.732912063598633,3947.5977,-5263.464453125,15583527.0
0.54,556.6343271243775,2460.001766492806,123.90957676738442,25.004580954426878,47.63134327124377,10.005717182886233,7456.574,28.678237915039062,7456.574,-2061.523828125,55600500.0
0.544,561.5992847873362,2470.0876453924357,123.39644539305235,30.034014304253308,47.679,14.78600585439492,6140.707,30.618000030517578,6140.707,1228.141015625,37708284.0
0.548,566.5570770722569,2506.3728311816467,121.61,30.784132331560937,47.68971231216768,16.099830828902345,1973.7988,33.91923141479492,1973.7988,3333.5265625,3895881.8
0.552,571.5401014825932,2480.0081482095748,122.90330436848413,30.685030444777713,47.81120304447777,16.36761928169255,-2193.1113,35.535282135009766,2193.1113,3465.11328125,4809737.5
0.556,576.5487938631632,2483.156355356116,122.74750549991653,32.334463815894864,47.97848793863162,17.021,-4386.2188,31.33111000061035,4386.2188,1798.35,19238914.0
0.56,581.5786656838642,2496.898244085856,122.07157626208917,34.08558429810909,48.14271994103176,15.950892959867822,-4824.8438,225.69444274902344,4824.8438,-657.93359375,23279118.0
0.564,586.5586680026998,2559.7825122259947,119.07333870391544,24.457,48.249,21.08190896464185,-4166.91,20.289417266845703,4166.91,-2719.45703125,17363140.0
0.568,591.6609914502457,2623.702523787855,116.17462800143628,49.819,48.32482974350739,33.03767042106363,-1754.4883,20.141965866088867,1754.4883,-3465.114453125,3078229.2
0.572,596.646305413901,2477.085686417612,123.04784235976186,34.24128572965621,48.45277832483406,24.391748783795222,2851.043,20.639455795288086,2851.043,-2456.28359375,8128446.0
0.576,601.5774169172472,2511.391016920034,121.36705966531866,34.53713217675323,48.58354833834491,19.4292273421353,8991.75,21.958017349243164,8991.75,219.31015625,80851570.0
0.58,606.4827241439176,2410.7557323539013,126.43348205112432,40.817368628532606,48.624172758560825,17.610368628532605,13816.594,23.225522994995117,13816.594,3947.59765625,190898260.0
0.584,611.469573112146,2524.06079435768,120.75889375843414,35.359138070854215,48.7131743867288,24.332507708307,13816.594,23.905296325683594,13816.594,7544.2984375,190898260.0
0.588,616.4420055896217,2448.8487583158467,124.46682334292403,46.286,48.842100279481144,32.451360447169826,7675.883,24.45247459411621,7675.883,9430.37265625,58919176.0
0.592,621.4428918366264,2541.385810327249,119.93464524511108,34.9299538572853,48.738431346930206,25.477531287161195,-1754.4883,24.12813949584961,1754.4883,8509.26640625,3078229.2
0.596,626.3855266505357,2459.5374528221514,123.92653647769193,23.839156341507326,48.885855266505374,18.830327343926744,-10088.309,23.977073669433594,10088.309,4693.2546875,101773970.0
0.6,631.3515462291994,2235.7865192885097,136.32815399221408,17.488536446593073,48.98863916062796,12.664329914788054,-13816.594,23.975196838378906,13816.594,-833.3828125,190898260.0
0.604,636.0479366852007,2518.8420795727434,121.02759136214478,15.992425660947575,49.08483493481598,8.224381005559914,-12281.418,227.32162475585938,12281.418,-6052.98515625,150833230.0
0.608,641.0163481024813,2472.6378627161807,123.26986910425164,21.27426962049619,49.18165392409924,9.161972342513378,-7675.8867,22.16980743408203,7675.8867,-9123.3390625,58919236.0
0.612,646.0336845983226,2515.2811382751424,121.17931540167824,22.736,49.234673691966435,11.406642078117477,-1535.1777,22.337554931640625,1535.1777,-9079.476953125,2356770.8
0.616,651.1243329674772,2536.395851919559,120.17057739472268,23.28784311016038,49.40545997804856,12.645023483334825,4386.2188,22.084529876708984,4386.2188,-6184.571484375,19238914.0
0.62,656.257992677034,2620.2203964585024,116.32617449947323,26.096033555789678,49.50989963385169,12.677353262871026,9211.0625,22.76369285583496,9211.0625,-1579.040234375,84843670.0
0.624,661.4656596940281,2534.656552582815,120.2529969029114,28.674872444547944,49.643686806119426,15.005882260372058,11623.484,23.466445922851562,11623.484,3201.940234375,135105390.0
0.628,666.5765261745166,2542.80442471303,119.86771291271567,30.060161986457608,49.74782630872574,19.91330598661933,10307.617,24.075368881225586,10307.617,6798.641015625,106246980.0
0.632,671.6448028424286,2419.773343064638,125.96718677696724,21.67079928939295,49.85224014212141,13.730437299693204,4605.5312,24.60142707824707,4605.5312,8026.7828125,21210918.0
0.636,676.7870824996684,2635.335278957033,115.65891750033302,23.482777474323974,49.977,11.451908650126546,-4386.2188,25.228891372680664,4386.2188,6272.2953125,19238914.0
0.64,682.0535889710052,2626.2743248538686,116.05828410459542,27.814933132461007,50.09053588971004,13.57480922114519,-12720.039,25.332550048828125,12720.039,1886.075,161799400.0
0.644,687.2908926907368,2665.1974469144775,114.363016236172,30.09779346968425,50.23272678072206,12.216457169482343,-16009.703,24.291955947875977,16009.703,-3640.5625,256310600.0
0.648,692.7478691201762,2528.0216166425294,120.56860957102548,37.52260351695689,50.268393456008816,18.938535050010742,-13377.973,226.7748565673828,13377.973,-8377.68046875,178970160.0
0.652,698.0365618661933,2594.0774708140366,117.49843813380765,26.49061967535917,50.41009685598577,19.373401622547583,-6798.6406,21.722782135009766,6798.6406,-10658.51484375,46221516.0
0.656,703.3111217804699,2713.4081651610336,112.33231715900608,34.79789262316411,50.44744391097655,14.032228197062581,438.6211,19.912126541137695,438.6211,-9693.546875,192388.47
0.66,708.778835339542,3136.6510750954976,97.21488362480079,41.737777106518294,50.631634939813765,20.061326904383392,7017.953,19.604581832885742,7017.953,-5745.9484375,49251668.0
0.664,714.259194800675,2670.5869744597826,114.13240050601091,36.54152337956138,50.771143636047235,21.891057663784064,11842.793,20.310924530029297,11842.793,-175.44921875,140251740.0
0.668,719.5734823751491,2638.0369541592295,115.54072502933441,28.00450473141929,51.06420447125441,17.007827513645484,13377.973,21.272377014160156,13377.973,5175.73984375,178970160.0
0.672,724.6449875712128,2429.9268914418353,125.43782354215567,18.322654526109567,51.22449875712117,14.815492133592322,10746.238,22.522823333740234,10746.238,8684.715625,115481640.0
0.676,729.5077985353953,2529.168159014926,120.52990482996981,12.593770916192401,51.43106417575259,8.076412673718236,4605.5312,23.873037338256836,4605.5312,9518.09765625,21210918.0
0.68,734.5091714566847,2563.3384158409353,118.94734764628697,15.127,51.371091714566845,6.967781129925123,-2193.1113,24.710105895996094,2193.1113,7675.884765625,4809737.5
0.684,739.467323397878,2654.977855223833,114.82749558991496,13.65828736214848,51.493,7.450766944905937,-7237.2656,27.22537612915039,7237.2656,3859.873046875,52378012.0
0.688,744.803520589519,2589.4288270179622,117.70949669695113,21.345851677509998,51.69928164716148,8.106337824017036,-8114.508,218.21299743652344,8114.508,-438.623046875,65845236.0
0.692,750.0790289307682,2584.1828042662146,117.94853514444874,22.99426239000418,51.89632231446129,12.783271698074511,-3947.5996,34.93645477294922,3947.5996,-3377.390625,15583543.0
0.696,755.3446036256794,2750.68602619256,110.80891880452744,29.915328544854,51.99207927486393,11.630445075952485,2631.7305,37.14298629760742,2631.7305,-3772.15078125,6926005.5
0.7,760.6990670000282,2686.543260768092,113.45436299014196,23.106432560047985,52.05995335000143,12.913558109952303,7456.574,37.74125289916992,7456.574,-1842.213671875,55600500.0
0.704,766.1422935380465,2707.414077932967,112.57983585929036,29.3120494638074,52.27442293538045,12.811709113208929,6360.0195,34.857574462890625,6360.0195,877.243359375,40449850.0
0.708,771.5483525851448,2650.326085927076,115.0049092962725,22.178067601555355,52.4144505775543,13.799691061759201,1096.5547,32.00273132324219,1096.5547,2719.455859375,1202432.1
0.712,776.9506765259307,2660.3600353782685,114.76538434377431,19.56618203281188,52.52704059155593,10.986282882511905,-3947.5996,31.54449462890625,3947.5996,2719.455859375,15583543.0
0.716,782.4765200837259,2742.697115486062,111.13205969900989,28.694719322240672,52.709295602511794,11.585216066981191,-4605.5312,31.23051643371582,4605.5312,1272.003515625,21210918.0
0.72,788.0317325251322,2702.367432296207,112.79029545002244,26.251559894133425,52.82822127675919,13.636876597869453,-1754.4883,216.1652374267578,1754.4883,-570.208984375,3078229.2
